"Count","Tradelist Count","Name","Edition","Condition","Language","Foil","Tags","Last Modified","Collector Number","Alter","Proxy","Purchase Price"
"1","1","Abyssal Harvester","fdn","Near Mint","Spanish","foil","","2025-04-24 02:34:44.070000","54","False","False","1.49"
"3","3","Abzan Charm","ktk","Near Mint","Spanish","","","2025-02-16 22:29:52.167000","161","False","False","0.39"
"3","3","Abzan Charm","ktk","Near Mint","English","","","2025-03-03 01:07:16.763000","161","False","False","0.39"
"1","1","Abzan Falconer","plst","Near Mint","English","","","2025-02-16 22:29:52.167000","KTK-2","False","False","0.35"
"1","1","Academy Journeymage","plst","Near Mint","English","","","2025-02-16 22:29:52.167000","DOM-41","False","False","0.35"
"1","1","Academy Manufactor","mh2","Near Mint","English","foil","","2025-02-16 22:29:52.167000","219","False","False","7.99"
"1","1","Acceptable Losses","ody","Near Mint","Spanish","","","2025-02-16 22:29:52.167000","172","False","False","0.35"
"2","2","Accorder's Shield","som","Near Mint","English","","","2025-02-16 22:29:52.167000","136","False","False","0.35"
"1","1","Accursed Centaur","ons","Near Mint","Spanish","","","2025-02-16 22:29:52.167000","123","False","False","0.35"
"1","1","Accursed Spirit","plst","Near Mint","English","","","2025-02-16 22:29:52.167000","M15-85","False","False","0.35"
"2","2","Accursed Spirit","m15","Near Mint","Spanish","","","2025-02-16 22:29:52.167000","85","False","False","0.35"
"1","1","Acererak the Archlich","afr","Near Mint","English","","","2025-06-08 17:41:23.943000","87","False","False","2.99"
"1","1","Acidic Sliver","sth","Near Mint","English","","","2025-02-16 22:29:52.167000","126","False","False","0.35"
"1","1","Acolyte of Bahamut","clb","Near Mint","Spanish","","","2025-02-16 22:29:20.027000","212","False","False",""
"1","1","Acolyte of Bahamut","clb","Near Mint","English","","","2025-02-16 22:29:20.027000","212","False","False",""
"2","2","Act of Aggression","nph","Near Mint","Spanish","","","2025-02-16 22:29:52.167000","78","False","False","0.49"
"1","1","Adanto Vanguard","plst","Near Mint","English","","","2025-02-16 22:29:52.167000","XLN-1","False","False","0.35"
"1","1","Adaptive Shimmerer","iko","Near Mint","English","","","2025-02-16 22:29:52.167000","1","False","False","0.35"
"1","1","Adult Gold Dragon","afr","Near Mint","English","","","2025-02-16 22:29:20.027000","216","False","False",""
"1","1","Advanced Hoverguard","5dn","Near Mint","Spanish","","","2025-02-16 22:29:52.167000","22","False","False","0.35"
"2","2","Adventurer's Airship","fin","Near Mint","English","","","2025-06-28 17:20:53.137000","252","False","False","0.35"
"1","1","Adventuring Gear","zen","Near Mint","Spanish","","","2025-02-16 22:29:52.167000","195","False","False","0.35"
"1","1","Adventurous Impulse","iko","Near Mint","English","","","2025-02-16 22:29:52.167000","142","False","False","0.35"
"1","1","Adventurous Impulse","plst","Near Mint","English","","","2025-02-16 22:29:52.167000","DOM-153","False","False","0.35"
"1","1","Aegar, the Freezing Flame","mul","Near Mint","English","foil","","2025-02-16 22:29:52.167000","161","False","False","0.49"
"1","1","Aegar, the Freezing Flame","mul","Near Mint","English","etched","","2025-02-16 22:29:52.167000","96","False","False","0.49"
"1","1","Aegar, the Freezing Flame","mul","Near Mint","English","foil","","2025-02-16 22:29:52.167000","31","False","False","0.49"
"1","1","Aegis Turtle","iko","Near Mint","English","","","2025-02-16 22:29:52.167000","39","False","False","0.35"
"1","1","Aerial Boost","mom","Near Mint","English","foil","","2025-02-16 22:29:52.167000","2","False","False","0.49"
"1","1","Aerie Bowmasters","plst","Near Mint","English","","","2025-02-16 22:29:52.167000","DTK-170","False","False","0.35"
"1","1","Aerith Rescue Mission","fin","Near Mint","English","","","2025-06-28 17:20:53.137000","5","False","False","0.35"
"4","4","Aeromoeba","mh2","Near Mint","English","","","2025-02-16 22:29:52.167000","37","False","False","0.35"
"3","3","Aeromoeba","mh2","Near Mint","English","","","2025-02-16 22:29:52.167000","389","False","False","0.35"
"1","1","Aether Channeler","dmu","Near Mint","Spanish","","","2025-06-08 17:41:23.943000","42","False","False","0.49"
"1","1","Aether Channeler","dmu","Near Mint","English","","","2025-06-08 17:41:23.943000","42","False","False","0.49"
"1","1","Aether Figment","zen","Near Mint","Spanish","foil","","2025-02-16 22:29:52.167000","40","False","False","0.49"
"1","1","Aether Hub","kld","Near Mint","Spanish","","","2025-02-16 22:29:52.167000","242","False","False","0.35"
"1","1","Aether Hub","kld","Near Mint","English","","","2025-02-16 22:29:52.167000","242","False","False","0.35"
"2","2","Aether Meltdown","kld","Near Mint","English","","","2025-02-16 22:29:52.167000","36","False","False","0.35"
"1","1","Aether Theorist","kld","Near Mint","Spanish","","","2025-02-16 22:29:52.167000","37","False","False","0.35"
"1","1","Aether Tradewinds","plst","Near Mint","English","","","2025-02-16 22:29:52.167000","KLD-38","False","False","0.35"
"1","1","Aether Tradewinds","kld","Near Mint","Spanish","","","2025-02-16 22:29:52.167000","38","False","False","0.35"
"1","1","Aetherblade Agent // Gitaxian Mindstinger","mom","Near Mint","English","foil","","2025-02-16 22:29:52.167000","88","False","False","0.49"
"1","1","Aetherflux Reservoir","brr","Near Mint","Spanish","","","2025-05-09 17:41:04.707000","65","False","False",""
"1","1","Aetherling","dgm","Near Mint","Spanish","","","2025-04-20 01:45:12.920000","11","False","False","0.59"
"2","2","Aethersphere Harvester","aer","Near Mint","Spanish","","","2025-02-16 22:29:52.167000","142","False","False","0.49"
"1","1","Aetherspouts","m15","Near Mint","Spanish","foil","","2025-02-16 22:29:52.167000","44","False","False","3.49"
"1","1","Aetherspouts","mic","Near Mint","English","","","2025-02-16 22:29:52.167000","97","False","False","1.29"
"3","3","Aeve, Progenitor Ooze","mh2","Near Mint","English","","","2025-02-16 22:29:52.167000","148","False","False","0.49"
"1","1","Affa Protector","plst","Near Mint","English","","","2025-02-16 22:29:52.167000","OGW-14","False","False","0.35"
"1","1","Affectionate Indrik","plst","Near Mint","English","","","2025-02-16 22:29:52.167000","GRN-121","False","False","0.35"
"1","1","Afterburner Expert","dft","Near Mint","English","foil","","2025-03-21 22:46:03.253000","150","False","False","1.49"
"1","1","Agatha of the Vile Cauldron","woe","Near Mint","Spanish","","","2025-03-16 04:07:40.690000","199","False","False","1.99"
"3","3","Agent of the Iron Throne","clb","Near Mint","Spanish","","","2025-02-16 22:29:20.027000","107","False","False",""
"2","2","Agent of the Shadow Thieves","clb","Near Mint","Spanish","","","2025-02-16 22:29:20.027000","108","False","False",""
"1","1","Agent of the Shadow Thieves","clb","Near Mint","English","","","2025-02-16 22:29:20.027000","108","False","False",""
"2","2","Agonizing Remorse","thb","Near Mint","English","","","2025-02-16 22:29:20.027000","83","False","False",""
"1","1","Ahriman","fin","Near Mint","English","","","2025-06-28 17:20:53.137000","87","False","False","0.35"
"1","1","Ahriman","fin","Near Mint","English","foil","","2025-06-28 17:20:53.137000","87","False","False","0.49"
"1","1","Aid the Fallen","plst","Near Mint","English","","","2025-02-16 22:29:52.167000","WAR-76","False","False","0.35"
"1","1","Ainok Bond-Kin","cmm","Near Mint","English","","","2025-02-16 22:29:20.027000","7","False","False",""
"1","1","Ainok Bond-Kin","ktk","Near Mint","Spanish","","","2025-02-16 22:29:52.167000","3","False","False","0.35"
"1","1","Ainok Bond-Kin","plst","Near Mint","English","","","2025-02-16 22:29:52.167000","KTK-3","False","False","0.35"
"1","1","Ainok Survivalist","plst","Near Mint","English","","","2025-02-16 22:29:52.167000","DTK-172","False","False","0.35"
"1","1","Ainok Tracker","plst","Near Mint","English","","","2025-02-16 22:29:52.167000","KTK-96","False","False","0.35"
"7","7","Air-Cult Elemental","afr","Near Mint","English","","","2025-02-16 22:29:20.027000","45","False","False",""
"1","1","Airship Crash","fin","Near Mint","English","","","2025-06-28 17:20:53.137000","171","False","False","0.35"
"1","1","Ajani, Caller of the Pride","fdn","Near Mint","Spanish","","","2025-02-16 22:29:52.167000","134","False","False","1.79"
"1","1","Ajani's Pridemate","plst","Near Mint","English","","","2025-02-16 22:29:52.167000","WAR-4","False","False","0.35"
"1","1","Akoum Battlesinger","wwk","Near Mint","Italian","","","2025-02-16 22:29:52.167000","71","False","False","0.35"
"2","2","Akoum Flameseeker","ogw","Near Mint","English","","","2025-02-16 22:29:20.027000","101","False","False",""
"1","1","Akoum Hellkite","bfz","Near Mint","Spanish","","","2025-02-16 22:29:52.167000","139","False","False","0.49"
"1","1","Akoum Refuge","plst","Near Mint","English","","","2025-02-16 22:29:52.167000","CMA-238","False","False","0.35"
"1","1","Akroan Horse","ths","Near Mint","English","","","2025-04-20 01:45:12.920000","210","False","False","0.69"
"2","2","Akroan Sergeant","plst","Near Mint","English","","","2025-02-16 22:29:52.167000","ORI-130","False","False","0.35"
"1","1","Alabaster Host Sanctifier","mom","Near Mint","English","foil","","2025-02-16 22:29:52.167000","4","False","False","0.49"
"1","1","Alaundo the Seer","clb","Near Mint","Spanish","","","2025-02-16 22:29:20.027000","264","False","False",""
"1","1","Alchemist's Retrieval","vow","Near Mint","English","","","2025-02-16 22:29:52.167000","47","False","False","0.35"
"1","1","Alesha, Who Smiles at Death","c16","Near Mint","Spanish","","","2025-03-04 03:01:15.437000","119","False","False","0.49"
"1","1","Alesha, Who Smiles at Death","2x2","Near Mint","Spanish","","","2025-04-20 01:45:12.920000","101","False","False","0.49"
"1","1","Alesha's Vanguard","plst","Near Mint","English","","","2025-02-16 22:29:52.167000","FRF-60","False","False","0.35"
"1","1","Alhammarret's Archive","plst","Near Mint","English","","","2025-02-16 22:29:52.167000","ORI-221","False","False","17.99"
"1","1","Alharu, Solemn Ritualist","cmm","Near Mint","English","","","2025-02-16 22:29:20.027000","8","False","False",""
"1","1","All Is Dust","plst","Near Mint","English","","","2025-02-16 22:29:52.167000","MM2-1","False","False","5.49"
"1","1","Alley Evasion","plst","Near Mint","English","","","2025-02-16 22:29:52.167000","AER-6","False","False","0.35"
"1","1","Alley Strangler","plst","Near Mint","English","","","2025-02-16 22:29:52.167000","AER-52","False","False","0.35"
"1","1","Alloy Myr","plst","Near Mint","English","","","2025-02-16 22:29:52.167000","MM2-201","False","False","1.29"
"3","3","Alloy Myr","mm2","Near Mint","English","","","2025-02-16 22:29:20.027000","201","False","False",""
"2","2","Alloy Myr","nph","Near Mint","Spanish","","","2025-02-16 22:29:52.167000","129","False","False","0.99"
"1","1","Alluring Scent","me4","Near Mint","English","","","2025-03-21 22:46:03.253000","141","False","False",""
"1","1","Alluring Siren","m12","Near Mint","Spanish","","","2025-02-16 22:29:52.167000","42","False","False","0.35"
"2","2","Alora, Merry Thief","clb","Near Mint","Spanish","","","2025-02-16 22:29:52.167000","55","False","False","0.35"
"1","1","Alora, Merry Thief","clb","Near Mint","Spanish","foil","","2025-02-16 22:29:20.027000","381","False","False",""
"2","2","Alpha Tyrranax","som","Near Mint","Spanish","","","2025-02-16 22:29:52.167000","109","False","False","0.35"
"4","4","Alseid of Life's Bounty","thb","Near Mint","English","","","2025-02-16 22:29:20.027000","1","False","False",""
"1","1","Altar of Bhaal // Bone Offering","clb","Near Mint","Spanish","","","2025-02-16 22:29:20.027000","109","False","False",""
"1","1","Altar of the Brood","ktk","Near Mint","English","","","2025-04-20 01:45:12.920000","216","False","False","18.99"
"2","2","Altar of the Goyf","mh2","Near Mint","English","","","2025-02-16 22:29:52.167000","220","False","False","0.35"
"3","3","Altar's Reap","isd","Near Mint","English","","","2025-02-16 22:29:52.167000","86","False","False","0.35"
"1","1","Always Watching","soi","Near Mint","English","","","2025-02-16 22:29:52.167000","1","False","False","1.79"
"1","1","Always Watching","soi","Near Mint","Spanish","","","2025-02-16 22:29:52.167000","1","False","False","1.79"
"1","1","Amass the Components","plst","Near Mint","English","","","2025-02-16 22:29:52.167000","IMA-41","False","False","0.35"
"1","1","Amber Gristle O'Maul","clb","Near Mint","English","","","2025-02-16 22:29:20.027000","159","False","False",""
"4","4","Amber Gristle O'Maul","clb","Near Mint","Spanish","","","2025-02-16 22:29:20.027000","159","False","False",""
"1","1","Amber Gristle O'Maul","clb","Near Mint","Spanish","","","2025-02-16 22:29:20.027000","395","False","False",""
"1","1","Ambition's Cost","clb","Near Mint","English","","","2025-02-16 22:29:20.027000","110","False","False",""
"1","1","Ambition's Cost","clb","Near Mint","English","foil","","2025-02-16 22:29:20.027000","110","False","False",""
"1","1","Ambition's Cost","8ed","Near Mint","Spanish","","","2025-02-16 22:29:52.167000","118","False","False","0.49"
"1","1","Ambition's Cost","clb","Near Mint","Spanish","","","2025-02-16 22:29:20.027000","110","False","False",""
"2","2","Ambitious Dragonborn","clb","Near Mint","English","","","2025-02-16 22:29:52.167000","213","False","False","0.35"
"2","2","Ambitious Dragonborn","clb","Near Mint","Spanish","","","2025-02-16 22:29:52.167000","213","False","False","0.35"
"1","1","Ambrosia Whiteheart","fin","Near Mint","English","","","2025-06-28 17:20:53.137000","6","False","False","0.35"
"1","1","Ambush Commander","plst","Near Mint","English","","","2025-03-21 22:46:03.253000","EVG-1","False","False","1.29"
"2","2","Amethyst Dragon // Explosive Crystal","clb","Near Mint","Spanish","","","2025-02-16 22:29:20.027000","160","False","False",""
"1","1","Amethyst Dragon // Explosive Crystal","clb","Near Mint","English","","","2025-02-16 22:29:20.027000","160","False","False",""
"1","1","Aminatou's Augury","plst","Near Mint","English","","","2025-02-16 22:29:52.167000","C18-6","False","False","0.49"
"1","1","Amulet of Kroog","atq","Heavily Played","English","","","2025-02-16 22:29:52.167000","36","False","False","0.35"
"10","10","An Offer You Can't Refuse","slp","Near Mint","English","","","2025-05-24 13:41:18.463000","7","False","False",""
"1","1","Anarchist","ody","Near Mint","Spanish","","","2025-02-16 22:29:52.167000","173","False","False","0.35"
"1","1","Ancestral Blade","m20","Near Mint","English","","","2025-02-16 22:29:52.167000","3","False","False","0.35"
"1","1","Ancestral Vengeance","plst","Near Mint","English","","","2025-02-16 22:29:52.167000","FRF-61","False","False","0.35"
"1","1","Ancient Brontodon","plst","Near Mint","English","","","2025-02-16 22:29:52.167000","XLN-175","False","False","0.49"
"1","1","Ancient Crab","ogw","Near Mint","English","","","2025-02-16 22:29:20.027000","50","False","False",""
"1","1","Ancient Den","plst","Near Mint","English","","","2025-03-21 22:46:03.253000","MRD-278","False","False","4.49"
"1","1","Ancient Grudge","plst","Near Mint","English","","","2025-02-16 22:29:52.167000","MM3-88","False","False","0.35"
"1","1","Ancient Imperiosaur","mom","Near Mint","Spanish","","","2025-06-08 17:41:23.943000","174","False","False","0.49"
"1","1","Ancient Lumberknot","vow","Near Mint","English","","","2025-02-16 22:29:52.167000","230","False","False","0.35"
"1","1","Ancient Tomb","plst","Near Mint","English","","","2025-06-08 17:41:23.943000","TMP-315","False","False","129.99"
"1","1","Ancient Ziggurat","con","Near Mint","English","","","2025-02-16 22:29:52.167000","141","False","False","4.49"
"1","1","Andúril, Narsil Reforged","ltc","Near Mint","English","foil","","2025-02-26 22:56:15.417000","491","False","False","12.99"
"1","1","Angel of Glory's Rise","avr","Near Mint","English","","","2025-05-11 20:52:26.510000","1","False","False","0.49"
"1","1","Angel of Sanctions","drc","Near Mint","English","","","2025-03-21 22:46:03.253000","62","False","False","0.99"
"1","1","Angel of Serenity","c21","Near Mint","English","","","2025-03-16 04:07:40.690000","83","False","False","1.29"
"5","5","Angelic Curator","mh2","Near Mint","English","","","2025-02-16 22:29:20.027000","262","False","False",""
"1","1","Angelic Gift","plst","Near Mint","English","","","2025-02-16 22:29:52.167000","BBD-88","False","False","0.35"
"1","1","Angelic Harold","unf","Near Mint","English","foil","","2025-02-16 22:29:52.167000","162","False","False","0.49"
"1","1","Angelic Observer","snc","Near Mint","Spanish","","","2025-02-16 22:29:20.027000","1","False","False",""
"1","1","Angelic Purge","plst","Near Mint","English","","","2025-02-16 22:29:52.167000","SOI-3","False","False","0.35"
"1","1","Angel's Feather","m12","Near Mint","English","","","2025-03-04 03:01:15.437000","202","False","False","0.35"
"1","1","Anger of the Gods","ths","Near Mint","German","","","2025-02-16 22:29:20.027000","112","False","False",""
"1","1","Anger of the Gods","2x2","Near Mint","English","","","2025-04-20 01:45:12.920000","358","False","False","1.29"
"1","1","Anger of the Gods","ths","Near Mint","English","","","2025-05-24 00:25:24.197000","112","False","False",""
"1","1","Angrath's Rampage","war","Near Mint","Spanish","","","2025-03-04 03:01:15.437000","185","False","False","0.35"
"1","1","Animist's Might","mat","Near Mint","English","etched","","2025-02-16 22:30:24.253000","120","False","False","0.16"
"1","1","Annihilate","plst","Near Mint","English","","","2025-02-16 22:29:52.167000","EMA-79","False","False","0.35"
"1","1","Anoint with Affliction","one","Near Mint","Spanish","","","2025-03-23 19:04:57.050000","81","False","False","1.29"
"1","1","Another Round","otj","Near Mint","English","","","2025-06-08 17:41:23.943000","1","False","False","0.59"
"1","1","Anowon, the Ruin Sage","voc","Near Mint","Spanish","","","2025-05-24 13:34:17.540000","118","False","False","3.99"
"1","1","Anowon, the Ruin Thief","znc","Near Mint","English","foil","","2025-03-04 03:01:15.437000","1","False","False","0.99"
"1","1","Antagonize","snc","Near Mint","Spanish","","","2025-02-16 22:29:20.027000","100","False","False",""
"1","1","Anticipate","bfz","Near Mint","English","","","2025-02-16 22:29:52.167000","69","False","False","0.35"
"2","2","Anticipate","dtk","Near Mint","English","","","2025-02-16 22:29:52.167000","45","False","False","0.35"
"1","1","Anticipate","iko","Near Mint","English","","","2025-02-16 22:29:52.167000","40","False","False","0.35"
"3","3","Anticipate","bfz","Near Mint","Spanish","","","2025-02-16 22:29:52.167000","69","False","False","0.35"
"1","1","Anticipate","plst","Near Mint","English","","","2025-02-16 22:29:52.167000","M19-44","False","False","0.35"
"1","1","Anvilwrought Raptor","m20","Near Mint","English","","","2025-02-16 22:29:52.167000","221","False","False","0.35"
"1","1","Apocalypse Hydra","mm2","Near Mint","English","","","2025-02-16 22:29:20.027000","171","False","False",""
"5","5","Apostle's Blessing","nph","Near Mint","Spanish","","","2025-02-16 22:29:52.167000","2","False","False","0.39"
"1","1","Appetite for Brains","avr","Near Mint","Spanish","","","2025-02-16 22:29:52.167000","84","False","False","0.35"
"1","1","Appetite for the Unnatural","kld","Near Mint","English","","","2025-02-16 22:29:52.167000","141","False","False","0.35"
"1","1","Apprentice Sharpshooter","vow","Near Mint","English","","","2025-02-16 22:29:52.167000","185","False","False","0.35"
"1","1","Approach of the Second Sun","q06","Near Mint","English","","","2025-02-16 22:29:20.027000","1","False","False",""
"8","8","Aquamoeba","dmr","Near Mint","English","","","2025-02-16 22:30:08.180000","38","False","False","0.04"
"1","1","Arachnoid Adaptation","mom","Near Mint","English","foil","","2025-02-16 22:29:52.167000","175","False","False","0.49"
"1","1","Arachnus Web","plst","Near Mint","English","","","2025-02-16 22:29:52.167000","MM3-118","False","False","0.35"
"1","1","Aradara Express","kld","Near Mint","Spanish","","","2025-02-16 22:29:52.167000","195","False","False","0.35"
"6","6","Arborea Pegasus","afr","Near Mint","English","","","2025-02-16 22:29:52.167000","2","False","False","0.35"
"3","3","Arboreal Grazer","war","Near Mint","English","","","2025-03-20 02:09:59.523000","149","False","False",""
"1","1","Arboria","dmr","Near Mint","English","","","2025-02-16 22:29:20.027000","149","False","False",""
"1","1","Arc Spitter","snc","Near Mint","Spanish","","","2025-02-16 22:29:20.027000","233","False","False",""
"1","1","Arc Trail","plst","Near Mint","English","","","2025-02-16 22:29:52.167000","PCA-39","False","False","0.35"
"1","1","Arcades, the Strategist","m19","Near Mint","English","","","2025-03-21 22:46:03.253000","212","False","False","5.49"
"1","1","Arcane Encyclopedia","clb","Near Mint","English","foil","","2025-02-16 22:29:52.167000","297","False","False","0.49"
"1","1","Arcane Encyclopedia","clb","Near Mint","English","","","2025-02-16 22:29:52.167000","297","False","False","0.35"
"2","2","Arcane Encyclopedia","clb","Near Mint","Spanish","","","2025-02-16 22:29:52.167000","297","False","False","0.35"
"1","1","Arcane Investigator","afr","Near Mint","English","foil","","2025-02-16 22:29:20.027000","46","False","False",""
"11","11","Arcane Investigator","afr","Near Mint","English","","","2025-02-16 22:29:20.027000","46","False","False",""
"1","1","Arcane Signet","clb","Near Mint","Spanish","","","2025-06-08 17:58:59.950000","298","False","False","1.29"
"1","1","Arcane Signet","clb","Near Mint","English","","","2025-02-16 22:29:52.167000","298","False","False","1.29"
"1","1","Arcbond","frf","Near Mint","Spanish","","","2025-04-20 01:45:12.920000","91","False","False","1.79"
"2","2","Arcbound Javelineer","mh2","Near Mint","English","","","2025-02-16 22:29:20.027000","2","False","False",""
"7","7","Arcbound Mouser","mh2","Near Mint","English","","","2025-02-16 22:29:20.027000","3","False","False",""
"1","1","Arcbound Prototype","mh2","Near Mint","English","foil","","2025-02-16 22:29:20.027000","4","False","False",""
"8","8","Arcbound Prototype","mh2","Near Mint","English","","","2025-02-16 22:29:20.027000","4","False","False",""
"1","1","Arcbound Shikari","mh2","Near Mint","English","","","2025-02-16 22:29:20.027000","184","False","False",""
"1","1","Arcbound Shikari","mh2","Near Mint","English","","","2025-02-16 22:29:20.027000","360","False","False",""
"1","1","Arcbound Shikari","mh2","Near Mint","English","foil","","2025-02-16 22:29:20.027000","184","False","False",""
"1","1","Arcbound Slasher","mh2","Near Mint","English","foil","","2025-02-16 22:29:20.027000","111","False","False",""
"7","7","Arcbound Slasher","mh2","Near Mint","English","","","2025-02-16 22:29:20.027000","111","False","False",""
"1","1","Arcbound Slith","plst","Near Mint","English","","","2025-02-16 22:29:52.167000","DST-102","False","False","0.79"
"1","1","Arcbound Tracker","mh2","Near Mint","English","foil","","2025-02-16 22:29:20.027000","112","False","False",""
"6","6","Arcbound Tracker","mh2","Near Mint","English","","","2025-02-16 22:29:20.027000","112","False","False",""
"1","1","Arcbound Whelp","mh2","Near Mint","English","","","2025-02-16 22:29:20.027000","113","False","False",""
"1","1","Arcbound Whelp","mh2","Near Mint","English","foil","","2025-02-16 22:29:20.027000","113","False","False",""
"1","1","Archaeomancer","m14","Near Mint","Spanish","","","2025-02-16 22:29:52.167000","43","False","False","0.35"
"1","1","Archangel","plst","Near Mint","English","","","2025-02-16 22:29:52.167000","C13-5","False","False","0.35"
"1","1","Archelos, Lagoon Mystic","cmr","Near Mint","English","","","2025-03-04 03:01:15.437000","268","False","False","0.49"
"1","1","Archers' Parapet","ktk","Near Mint","Spanish","","","2025-02-16 22:29:52.167000","128","False","False","0.35"
"1","1","Archetype of Imagination","c18","Near Mint","Spanish","","","2025-05-24 00:07:12.257000","81","False","False",""
"1","1","Archfiend of Depravity","e01","Near Mint","English","","","2025-03-04 03:01:15.437000","31","False","False","8.49"
"3","3","Archfiend of Sorrows","mh2","Near Mint","English","","","2025-02-16 22:29:20.027000","74","False","False",""
"1","1","Archfiend of the Dross","one","Near Mint","Spanish","","","2025-05-24 13:34:17.540000","82","False","False","1.79"
"2","2","Architects of Will","arb","Near Mint","Spanish","","","2025-02-16 22:29:52.167000","17","False","False","0.35"
"2","2","Archon of Sun's Grace","thb","Near Mint","English","","","2025-05-24 00:25:04.243000","3","False","False",""
"1","1","Arcus Acolyte","mh2","Near Mint","English","","","2025-02-16 22:29:20.027000","185","False","False",""
"1","1","Arcus Acolyte","mh2","Near Mint","English","","","2025-02-16 22:29:20.027000","361","False","False",""
"1","1","Ardent Elementalist","mid","Near Mint","English","","","2025-02-16 22:29:52.167000","128","False","False","0.35"
"1","1","Ardoz, Cobbler of War","j22","Near Mint","English","","","2025-06-08 17:41:23.943000","29","False","False","2.79"
"2","2","Argent Mutation","nph","Near Mint","Spanish","","","2025-02-16 22:29:52.167000","27","False","False","0.35"
"1","1","Argent Mutation","nph","Near Mint","Spanish","foil","","2025-02-16 22:29:52.167000","27","False","False","0.49"
"1","1","Argent Sphinx","mm2","Near Mint","Spanish","","","2025-02-16 22:29:52.167000","41","False","False","0.49"
"1","1","Argent Sphinx","som","Near Mint","English","","","2025-04-20 01:45:12.920000","28","False","False","0.49"
"1","1","Arixmethes, Slumbering Isle","mul","Near Mint","English","","","2025-02-16 22:29:52.167000","32","False","False","1.29"
"1","1","Arjun, the Shifting Flame","2x2","Near Mint","English","","","2025-02-16 22:29:20.027000","172","False","False",""
"2","2","Arm with Aether","nph","Near Mint","Spanish","","","2025-02-16 22:29:52.167000","28","False","False","0.35"
"1","1","Armament Master","zen","Near Mint","Spanish","","","2025-02-16 22:29:52.167000","1","False","False","0.49"
"2","2","Armor of Shadows","clb","Near Mint","English","","","2025-02-16 22:29:20.027000","112","False","False",""
"3","3","Armor of Shadows","clb","Near Mint","Spanish","","","2025-02-16 22:29:20.027000","112","False","False",""
"1","1","Armorcraft Judge","cmm","Near Mint","English","","","2025-02-16 22:29:20.027000","273","False","False",""
"1","1","Armored Ascension","shm","Near Mint","English","","","2025-02-16 22:29:52.167000","2","False","False","0.35"
"3","3","Armored Skaab","isd","Near Mint","English","","","2025-02-16 22:29:52.167000","43","False","False","0.35"
"7","7","Armory Veteran","afr","Near Mint","English","","","2025-02-16 22:29:20.027000","130","False","False",""
"3","3","Arms of Hadar","clb","Near Mint","Spanish","","","2025-02-16 22:29:20.027000","113","False","False",""
"2","2","Arms of Hadar","clb","Near Mint","English","","","2025-02-16 22:29:20.027000","113","False","False",""
"2","2","Army of the Damned","mic","Near Mint","English","","","2025-05-04 19:51:00.213000","106","False","False","1.29"
"2","2","Arrest","som","Near Mint","Spanish","","","2025-02-16 22:29:52.167000","2","False","False","0.35"
"1","1","Arrest","plst","Near Mint","English","","","2025-02-16 22:29:52.167000","MM2-9","False","False","0.35"
"3","3","Arrest","som","Near Mint","English","","","2025-02-16 22:29:52.167000","2","False","False","0.35"
"2","2","Arrester's Admonition","rna","Near Mint","English","","","2025-02-16 22:29:20.027000","31","False","False",""
